0x7ABA,ハチマリオ初変身
0x0C8E,テレサマリオ初変身
0x184F,ホッパーマリオ初変身
0x0E5E,ファイアマリオ初変身
0x62E5,アイスマリオ初変身
0x4C23,無敵マリオ初変身
0x78A4,ゴロ岩マリオ初変身
0x5BE8,雲マリオ初変身
0x751F,ドリル初ゲット
0x1880,ライフアップキノコ解説
0x3D66,１ＵＰキノコ解説
0x3637,ヨッシー出会い
0x3F29,コメットメダル解説
0x0B9B,２Ｐサポート解説
0x4E78,タマコロチュートリアル
0x2DC7,グライバードチュートリアル
0x6AF4,ワールド1初プレイ
0x59F5,ワールド2初プレイ
0x48F6,ワールド3初プレイ
0x37F7,ワールド4初プレイ
0x26F8,ワールド5初プレイ
0x15F9,ワールド6初プレイ
0x04FA,ワールド7初プレイ
0x7717,ワールド2他のワールドへ誘導
0x58D8,ワールド3他のワールドへ誘導
0x3A99,ワールド4他のワールドへ誘導
0x1C5A,ワールド5他のワールドへ誘導
0x7E1B,ワールド6他のワールドへ誘導
0x4B98,ワールド2ゲームオーバーによる誘導
0x1899,ワールド3ゲームオーバーによる誘導
0x659A,ワールド4ゲームオーバーによる誘導
0x329B,ワールド5ゲームオーバーによる誘導
0x7F9C,ワールド6ゲームオーバーによる誘導
0x4931,グランドギャラクシーマップ初プレイ
0x1738,グリーンスター出現デモ
0x6F30,クッパ最終戦直前デモ
0x6A95,IsOpenScenarioGoroRockGalaxy3
0x7E34,IsOpenScenarioJungleGliderGalaxy2
0x13F5,IsOpenScenarioThunderFleetGalaxy3
0x08D6,IsOpenScenarioChallengeGliderGalaxy2
0x0381,IsOpenScenarioHoneyBeeVillageGalaxy2
0x634F,IsOpenScenarioUnderGroundDangeonGalaxy2
0x6E87,IsOpenScenarioMokumokuValleyGalaxy2
0x280E,オープニング実行
0x4827,コメット解説
0x370D,銀行屋キノピオ初回
0x77CC,でしゃばりルイージ出現開始
0x2AD0,ノーマルエンディング実行
0x7011,ノーマルエンディング後デモ
0x5405,スター120個エンディング実行
0x2006,スター120個エンディング後デモ
0x00E9,最終ギャラクシー出現
0x687B,ノーマルエンディングメール送信
0x397A,コンプリートメール送信
0x6AA2,スターピースカウンターストップ
0x70B8,コインカウンターストップ
0x6F34,ルイージプレイ済
0x6060,でしゃばりルイージ出現中
0x41CA,ゲームオーバーで終了
